instance,J,T,C,solver,time_limit(msec),status,objective,sequence
instances/MTSP/Catanzaro/B1-1.txt,15,20,6,yuck,900000,satisfied,19,"[5, 15, 11, 3, 12, 9, 2, 1, 8, 14, 4, 10, 13, 7, 6]"
instances/MTSP/Catanzaro/B1-10.txt,15,20,6,yuck,900000,satisfied,22,"[3, 2, 1, 12, 14, 10, 4, 13, 15, 9, 5, 6, 7, 11, 8]"
instances/MTSP/Catanzaro/B1-2.txt,15,20,6,yuck,900000,satisfied,26,"[1, 6, 7, 5, 4, 2, 10, 11, 3, 8, 12, 13, 15, 14, 9]"
instances/MTSP/Catanzaro/B1-3.txt,15,19,6,yuck,900000,satisfied,23,"[10, 13, 8, 2, 11, 12, 15, 5, 1, 3, 7, 6, 9, 4, 14]"
instances/MTSP/Catanzaro/B1-4.txt,15,18,6,yuck,900000,satisfied,19,"[6, 1, 9, 15, 4, 5, 13, 11, 2, 10, 14, 3, 7, 12, 8]"
instances/MTSP/Catanzaro/B1-5.txt,15,20,6,yuck,900000,satisfied,21,"[1, 2, 8, 5, 14, 11, 9, 10, 6, 3, 4, 7, 13, 12, 15]"
instances/MTSP/Catanzaro/B1-6.txt,15,19,6,yuck,900000,satisfied,23,"[2, 13, 3, 15, 6, 5, 10, 7, 14, 1, 12, 4, 11, 8, 9]"
instances/MTSP/Catanzaro/B1-7.txt,15,18,6,yuck,900000,satisfied,15,"[1, 13, 14, 15, 11, 10, 7, 4, 12, 3, 9, 6, 8, 5, 2]"
instances/MTSP/Catanzaro/B1-8.txt,15,19,6,yuck,900000,satisfied,23,"[1, 15, 5, 6, 13, 8, 3, 9, 11, 4, 14, 10, 7, 12, 2]"
instances/MTSP/Catanzaro/B1-9.txt,15,19,6,yuck,900000,satisfied,20,"[2, 7, 12, 5, 14, 8, 6, 11, 1, 9, 3, 15, 13, 10, 4]"
instances/MTSP/Catanzaro/B2-1.txt,15,20,8,yuck,900000,satisfied,14,"[7, 10, 6, 12, 9, 3, 8, 2, 11, 1, 5, 14, 4, 13, 15]"
instances/MTSP/Catanzaro/B2-10.txt,15,20,8,yuck,900000,satisfied,16,"[3, 1, 2, 12, 13, 9, 4, 10, 14, 15, 5, 6, 7, 11, 8]"
instances/MTSP/Catanzaro/B2-2.txt,15,20,8,yuck,900000,satisfied,19,"[12, 3, 11, 8, 9, 10, 6, 5, 1, 2, 7, 4, 13, 14, 15]"
instances/MTSP/Catanzaro/B2-3.txt,15,19,8,yuck,900000,satisfied,15,"[6, 14, 9, 4, 1, 5, 7, 3, 15, 12, 11, 13, 10, 2, 8]"
instances/MTSP/Catanzaro/B2-4.txt,15,18,8,yuck,900000,satisfied,14,"[1, 9, 15, 6, 5, 12, 11, 7, 13, 3, 10, 14, 8, 4, 2]"
instances/MTSP/Catanzaro/B2-5.txt,15,20,8,yuck,900000,satisfied,15,"[5, 8, 14, 9, 11, 2, 1, 3, 10, 6, 4, 7, 15, 12, 13]"
instances/MTSP/Catanzaro/B2-6.txt,15,19,8,yuck,900000,satisfied,16,"[2, 8, 11, 9, 15, 13, 4, 12, 6, 10, 3, 1, 14, 7, 5]"
instances/MTSP/Catanzaro/B2-7.txt,15,18,8,org.minizinc.mip.cplex,300000,optimal,10,"[2, 12, 8, 3, 5, 9, 4, 6, 7, 11, 10, 14, 1, 13, 15]"
instances/MTSP/Catanzaro/B2-8.txt,15,19,8,yuck,900000,satisfied,13,"[2, 12, 7, 11, 3, 4, 14, 8, 9, 10, 13, 1, 6, 5, 15]"
instances/MTSP/Catanzaro/B2-9.txt,15,19,8,yuck,900000,satisfied,13,"[7, 4, 10, 12, 8, 14, 5, 13, 3, 2, 11, 9, 1, 6, 15]"
instances/MTSP/Catanzaro/B3-1.txt,15,20,10,yuck,900000,optimal,10,"[1, 15, 4, 2, 8, 7, 6, 10, 12, 11, 14, 5, 13, 3, 9]"
instances/MTSP/Catanzaro/B3-10.txt,15,20,10,yuck,900000,satisfied,11,"[1, 14, 10, 4, 13, 12, 3, 2, 9, 15, 6, 5, 7, 11, 8]"
instances/MTSP/Catanzaro/B3-2.txt,15,20,10,yuck,900000,satisfied,12,"[5, 1, 10, 6, 11, 7, 2, 3, 8, 12, 4, 13, 15, 9, 14]"
instances/MTSP/Catanzaro/B3-3.txt,15,19,10,yuck,900000,satisfied,11,"[8, 2, 6, 13, 10, 14, 4, 1, 9, 7, 5, 15, 3, 11, 12]"
instances/MTSP/Catanzaro/B3-4.txt,15,18,10,yuck,900000,satisfied,9,"[3, 8, 7, 12, 1, 6, 10, 11, 13, 15, 5, 9, 4, 2, 14]"
instances/MTSP/Catanzaro/B3-5.txt,15,20,10,yuck,900000,satisfied,11,"[2, 1, 9, 3, 14, 5, 11, 7, 6, 4, 10, 8, 13, 15, 12]"
instances/MTSP/Catanzaro/B3-6.txt,15,19,10,yuck,900000,satisfied,11,"[2, 13, 15, 6, 3, 12, 4, 10, 1, 14, 7, 5, 9, 11, 8]"
instances/MTSP/Catanzaro/B3-7.txt,15,18,10,yuck,900000,optimal,8,"[7, 14, 15, 13, 1, 2, 6, 11, 10, 4, 8, 3, 5, 9, 12]"
instances/MTSP/Catanzaro/B3-8.txt,15,19,10,org.minizinc.mip.cplex,300000,optimal,9,"[12, 7, 2, 10, 4, 11, 3, 14, 8, 9, 5, 1, 15, 6, 13]"
instances/MTSP/Catanzaro/B3-9.txt,15,19,10,yuck,900000,optimal,9,"[7, 3, 2, 4, 12, 10, 9, 6, 11, 1, 15, 13, 5, 8, 14]"
instances/MTSP/Catanzaro/B4-1.txt,15,20,12,yuck,900000,optimal,8,"[7, 15, 4, 10, 6, 1, 14, 8, 2, 11, 5, 13, 3, 12, 9]"
instances/MTSP/Catanzaro/B4-10.txt,15,20,12,yuck,900000,optimal,8,"[3, 1, 15, 10, 13, 9, 4, 2, 14, 12, 5, 6, 8, 11, 7]"
instances/MTSP/Catanzaro/B4-2.txt,15,20,12,yuck,900000,satisfied,9,"[4, 15, 13, 9, 12, 14, 11, 8, 2, 10, 3, 6, 5, 1, 7]"
instances/MTSP/Catanzaro/B4-3.txt,15,19,12,yuck,900000,optimal,7,"[10, 13, 2, 6, 12, 8, 11, 15, 3, 7, 9, 1, 4, 5, 14]"
instances/MTSP/Catanzaro/B4-4.txt,15,18,12,org.minizinc.mip.cplex,900000,optimal,6,"[3, 8, 14, 2, 9, 11, 10, 5, 1, 7, 15, 4, 13, 12, 6]"
instances/MTSP/Catanzaro/B4-5.txt,15,20,12,yuck,900000,optimal,8,"[4, 8, 10, 7, 5, 6, 11, 13, 9, 12, 3, 2, 1, 14, 15]"
instances/MTSP/Catanzaro/B4-6.txt,15,19,12,yuck,900000,optimal,7,"[1, 14, 6, 3, 10, 7, 11, 4, 12, 9, 5, 15, 2, 13, 8]"
instances/MTSP/Catanzaro/B4-7.txt,15,18,12,org.minizinc.mip.cplex,900000,optimal,6,"[6, 14, 2, 15, 13, 5, 8, 1, 10, 9, 3, 4, 11, 12, 7]"
instances/MTSP/Catanzaro/B4-8.txt,15,19,12,yuck,900000,optimal,7,"[5, 1, 15, 13, 6, 9, 14, 3, 8, 11, 7, 12, 4, 2, 10]"
instances/MTSP/Catanzaro/B4-9.txt,15,19,12,org.minizinc.mip.cplex,900000,optimal,7,"[3, 12, 1, 10, 4, 13, 15, 5, 6, 11, 2, 14, 9, 7, 8]"