instance,J,T,C,solver,status,objective,schedule
instances/MTSP/Laporte/Tabela4/L1-1.txt,9,15,5,org.minizinc.mip.cplex,optimal,12,"[4, 9, 7, 5, 3, 8, 1, 2, 6]"
instances/MTSP/Laporte/Tabela4/L1-10.txt,9,15,5,org.minizinc.mip.cplex,optimal,12,"[4, 3, 8, 1, 2, 5, 9, 7, 6]"
instances/MTSP/Laporte/Tabela4/L1-2.txt,9,15,5,org.minizinc.mip.cplex,optimal,13,"[7, 4, 1, 5, 3, 6, 8, 9, 2]"
instances/MTSP/Laporte/Tabela4/L1-3.txt,9,15,5,org.minizinc.mip.cplex,optimal,13,"[3, 5, 2, 6, 8, 9, 7, 1, 4]"
instances/MTSP/Laporte/Tabela4/L1-4.txt,9,15,5,org.minizinc.mip.cplex,optimal,13,"[9, 6, 8, 5, 3, 7, 1, 4, 2]"
instances/MTSP/Laporte/Tabela4/L1-5.txt,9,15,5,org.minizinc.mip.cplex,optimal,10,"[3, 6, 7, 9, 1, 5, 8, 4, 2]"
instances/MTSP/Laporte/Tabela4/L1-6.txt,9,15,5,org.minizinc.mip.cplex,optimal,14,"[1, 4, 9, 3, 6, 8, 5, 2, 7]"
instances/MTSP/Laporte/Tabela4/L1-7.txt,9,15,5,org.minizinc.mip.cplex,optimal,12,"[7, 2, 6, 4, 9, 1, 8, 5, 3]"
instances/MTSP/Laporte/Tabela4/L1-8.txt,9,15,5,org.minizinc.mip.cplex,optimal,12,"[2, 7, 3, 9, 1, 5, 8, 6, 4]"
instances/MTSP/Laporte/Tabela4/L1-9.txt,9,15,5,org.minizinc.mip.cplex,optimal,11,"[7, 9, 3, 5, 2, 1, 6, 8, 4]"
instances/MTSP/Laporte/Tabela4/L10-1.txt,9,20,15,org.minizinc.mip.cplex,optimal,10,"[9, 3, 6, 4, 2, 5, 1, 8, 7]"
instances/MTSP/Laporte/Tabela4/L10-10.txt,9,20,15,org.minizinc.mip.cplex,satisfied,5,"[6, 1, 3, 7, 5, 8, 4, 9, 2]"
instances/MTSP/Laporte/Tabela4/L10-2.txt,9,20,15,org.minizinc.mip.cplex,optimal,10,"[5, 9, 4, 1, 7, 2, 6, 3, 8]"
instances/MTSP/Laporte/Tabela4/L10-3.txt,9,20,15,org.minizinc.mip.cplex,optimal,5,"[4, 3, 5, 7, 9, 2, 6, 1, 8]"
instances/MTSP/Laporte/Tabela4/L10-4.txt,9,20,15,org.minizinc.mip.cplex,optimal,8,"[4, 3, 2, 7, 9, 6, 5, 1, 8]"
instances/MTSP/Laporte/Tabela4/L10-5.txt,9,20,15,org.minizinc.mip.cplex,optimal,11,"[7, 8, 1, 4, 2, 6, 3, 9, 5]"
instances/MTSP/Laporte/Tabela4/L10-6.txt,9,20,15,org.minizinc.mip.cplex,optimal,11,"[2, 7, 3, 6, 8, 1, 4, 9, 5]"
instances/MTSP/Laporte/Tabela4/L10-7.txt,9,20,15,org.minizinc.mip.cplex,optimal,13,"[3, 8, 2, 1, 9, 7, 4, 6, 5]"
instances/MTSP/Laporte/Tabela4/L10-8.txt,9,20,15,org.minizinc.mip.cplex,optimal,7,"[9, 2, 6, 1, 5, 8, 7, 4, 3]"
instances/MTSP/Laporte/Tabela4/L10-9.txt,9,20,15,org.minizinc.mip.cplex,optimal,9,"[2, 9, 5, 4, 8, 6, 3, 1, 7]"
instances/MTSP/Laporte/Tabela4/L11-1.txt,9,20,15,org.minizinc.mip.cplex,optimal,13,"[3, 4, 5, 8, 9, 6, 1, 2, 7]"
instances/MTSP/Laporte/Tabela4/L11-10.txt,9,20,15,org.minizinc.mip.cplex,optimal,13,"[3, 4, 7, 1, 8, 5, 2, 9, 6]"
instances/MTSP/Laporte/Tabela4/L11-2.txt,9,20,15,org.minizinc.mip.cplex,optimal,14,"[2, 8, 5, 3, 7, 4, 9, 1, 6]"
instances/MTSP/Laporte/Tabela4/L11-3.txt,9,20,15,org.minizinc.mip.cplex,optimal,13,"[2, 7, 4, 1, 6, 8, 3, 5, 9]"
instances/MTSP/Laporte/Tabela4/L11-4.txt,9,20,15,org.minizinc.mip.cplex,optimal,14,"[6, 7, 3, 1, 2, 8, 5, 9, 4]"
instances/MTSP/Laporte/Tabela4/L11-5.txt,9,20,15,org.minizinc.mip.cplex,optimal,9,"[8, 6, 3, 1, 7, 9, 2, 4, 5]"
instances/MTSP/Laporte/Tabela4/L11-6.txt,9,20,15,org.minizinc.mip.cplex,optimal,13,"[6, 4, 8, 2, 3, 5, 1, 9, 7]"
instances/MTSP/Laporte/Tabela4/L11-7.txt,9,20,15,org.minizinc.mip.cplex,optimal,15,"[7, 1, 8, 4, 3, 5, 9, 6, 2]"
instances/MTSP/Laporte/Tabela4/L11-8.txt,9,20,15,org.minizinc.mip.cplex,optimal,14,"[7, 3, 4, 8, 5, 6, 9, 1, 2]"
instances/MTSP/Laporte/Tabela4/L11-9.txt,9,20,15,org.minizinc.mip.cplex,optimal,13,"[4, 5, 9, 1, 7, 6, 3, 8, 2]"
instances/MTSP/Laporte/Tabela4/L12-1.txt,9,25,10,org.minizinc.mip.cplex,satisfied,18,"[9, 2, 8, 6, 5, 1, 4, 3, 7]"
instances/MTSP/Laporte/Tabela4/L12-10.txt,9,25,10,org.minizinc.mip.cplex,optimal,17,"[1, 6, 9, 7, 4, 2, 8, 3, 5]"
instances/MTSP/Laporte/Tabela4/L12-2.txt,9,25,10,org.minizinc.mip.cplex,satisfied,18,"[4, 3, 5, 6, 8, 1, 9, 7, 2]"
instances/MTSP/Laporte/Tabela4/L12-3.txt,9,25,10,org.minizinc.mip.cplex,satisfied,20,"[2, 9, 8, 5, 1, 4, 6, 7, 3]"
instances/MTSP/Laporte/Tabela4/L12-4.txt,9,25,10,org.minizinc.mip.cplex,optimal,24,"[9, 3, 5, 1, 2, 8, 7, 6, 4]"
instances/MTSP/Laporte/Tabela4/L12-5.txt,9,25,10,org.minizinc.mip.cplex,optimal,18,"[7, 8, 6, 4, 2, 5, 1, 9, 3]"
instances/MTSP/Laporte/Tabela4/L12-6.txt,9,25,10,org.minizinc.mip.cplex,optimal,21,"[7, 2, 5, 9, 4, 6, 8, 3, 1]"
instances/MTSP/Laporte/Tabela4/L12-7.txt,9,25,10,org.minizinc.mip.cplex,satisfied,15,"[8, 2, 9, 6, 1, 3, 4, 5, 7]"
instances/MTSP/Laporte/Tabela4/L12-8.txt,9,25,10,org.minizinc.mip.cplex,optimal,22,"[1, 9, 3, 7, 6, 4, 5, 8, 2]"
instances/MTSP/Laporte/Tabela4/L12-9.txt,9,25,10,org.minizinc.mip.cplex,optimal,17,"[5, 1, 3, 7, 6, 8, 2, 9, 4]"
instances/MTSP/Laporte/Tabela4/L13-1.txt,9,25,10,org.minizinc.mip.cplex,satisfied,23,"[8, 2, 4, 3, 5, 1, 6, 7, 9]"
instances/MTSP/Laporte/Tabela4/L13-10.txt,9,25,10,org.minizinc.mip.cplex,satisfied,20,"[3, 1, 5, 9, 8, 2, 4, 7, 6]"
instances/MTSP/Laporte/Tabela4/L13-2.txt,9,25,10,org.minizinc.mip.cplex,satisfied,24,"[1, 4, 5, 6, 9, 2, 3, 7, 8]"
instances/MTSP/Laporte/Tabela4/L13-3.txt,9,25,10,org.minizinc.mip.cplex,optimal,23,"[2, 7, 4, 5, 9, 6, 1, 8, 3]"
instances/MTSP/Laporte/Tabela4/L13-4.txt,9,25,10,org.minizinc.mip.cplex,satisfied,26,"[6, 8, 9, 3, 7, 2, 1, 5, 4]"
instances/MTSP/Laporte/Tabela4/L13-5.txt,9,25,10,org.minizinc.mip.cplex,satisfied,20,"[5, 4, 9, 7, 3, 8, 1, 6, 2]"
instances/MTSP/Laporte/Tabela4/L13-6.txt,9,25,10,org.minizinc.mip.cplex,satisfied,21,"[5, 1, 4, 9, 8, 7, 6, 3, 2]"
instances/MTSP/Laporte/Tabela4/L13-7.txt,9,25,10,org.minizinc.mip.cplex,satisfied,23,"[8, 4, 7, 6, 1, 2, 9, 3, 5]"
instances/MTSP/Laporte/Tabela4/L13-8.txt,9,25,10,org.minizinc.mip.cplex,optimal,21,"[7, 1, 8, 9, 4, 2, 3, 6, 5]"
instances/MTSP/Laporte/Tabela4/L13-9.txt,9,25,10,org.minizinc.mip.cplex,satisfied,24,"[8, 4, 3, 7, 5, 1, 2, 6, 9]"
instances/MTSP/Laporte/Tabela4/L14-1.txt,9,25,15,org.minizinc.mip.cplex,satisfied,11,"[6, 3, 2, 1, 7, 9, 8, 4, 5]"
instances/MTSP/Laporte/Tabela4/L14-10.txt,9,25,15,org.minizinc.mip.cplex,satisfied,10,"[7, 3, 2, 9, 6, 1, 5, 8, 4]"
instances/MTSP/Laporte/Tabela4/L14-2.txt,9,25,15,org.minizinc.mip.cplex,satisfied,11,"[1, 4, 9, 8, 6, 2, 7, 3, 5]"
instances/MTSP/Laporte/Tabela4/L14-3.txt,9,25,15,org.minizinc.mip.cplex,satisfied,10,"[5, 9, 1, 8, 7, 4, 2, 6, 3]"
instances/MTSP/Laporte/Tabela4/L14-4.txt,9,25,15,org.minizinc.mip.cplex,satisfied,11,"[6, 1, 5, 7, 9, 3, 8, 4, 2]"
instances/MTSP/Laporte/Tabela4/L14-5.txt,9,25,15,org.minizinc.mip.cplex,satisfied,10,"[3, 4, 1, 5, 9, 6, 7, 2, 8]"
instances/MTSP/Laporte/Tabela4/L14-6.txt,9,25,15,org.minizinc.mip.cplex,satisfied,10,"[8, 5, 1, 3, 2, 7, 6, 4, 9]"
instances/MTSP/Laporte/Tabela4/L14-7.txt,9,25,15,org.minizinc.mip.cplex,satisfied,11,"[3, 9, 8, 7, 2, 6, 4, 1, 5]"
instances/MTSP/Laporte/Tabela4/L14-8.txt,9,25,15,org.minizinc.mip.cplex,satisfied,10,"[2, 8, 1, 3, 4, 6, 7, 5, 9]"
instances/MTSP/Laporte/Tabela4/L14-9.txt,9,25,15,org.minizinc.mip.cplex,satisfied,10,"[4, 2, 6, 8, 9, 5, 7, 3, 1]"
instances/MTSP/Laporte/Tabela4/L15-1.txt,9,25,15,org.minizinc.mip.cplex,optimal,14,"[9, 7, 8, 6, 4, 3, 1, 5, 2]"
instances/MTSP/Laporte/Tabela4/L15-10.txt,9,25,15,org.minizinc.mip.cplex,optimal,13,"[7, 6, 5, 8, 9, 4, 2, 1, 3]"
instances/MTSP/Laporte/Tabela4/L15-2.txt,9,25,15,org.minizinc.mip.cplex,optimal,16,"[2, 4, 8, 5, 6, 7, 9, 3, 1]"
instances/MTSP/Laporte/Tabela4/L15-3.txt,9,25,15,org.minizinc.mip.cplex,satisfied,12,"[8, 5, 7, 4, 3, 9, 6, 1, 2]"
instances/MTSP/Laporte/Tabela4/L15-4.txt,9,25,15,org.minizinc.mip.cplex,optimal,14,"[4, 5, 6, 1, 2, 3, 9, 8, 7]"
instances/MTSP/Laporte/Tabela4/L15-5.txt,9,25,15,org.minizinc.mip.cplex,satisfied,12,"[4, 9, 3, 6, 1, 2, 5, 8, 7]"
instances/MTSP/Laporte/Tabela4/L15-6.txt,9,25,15,org.minizinc.mip.cplex,optimal,12,"[7, 1, 4, 6, 8, 9, 5, 3, 2]"
instances/MTSP/Laporte/Tabela4/L15-7.txt,9,25,15,org.minizinc.mip.cplex,optimal,16,"[8, 4, 9, 7, 6, 2, 1, 5, 3]"
instances/MTSP/Laporte/Tabela4/L15-8.txt,9,25,15,org.minizinc.mip.cplex,optimal,15,"[5, 8, 4, 7, 9, 2, 1, 3, 6]"
instances/MTSP/Laporte/Tabela4/L15-9.txt,9,25,15,org.minizinc.mip.cplex,optimal,13,"[3, 2, 1, 8, 6, 7, 4, 9, 5]"
instances/MTSP/Laporte/Tabela4/L16-1.txt,9,25,15,org.minizinc.mip.cplex,optimal,15,"[7, 9, 4, 5, 8, 1, 6, 3, 2]"
instances/MTSP/Laporte/Tabela4/L16-10.txt,9,25,15,org.minizinc.mip.cplex,optimal,16,"[1, 2, 9, 5, 8, 7, 4, 6, 3]"
instances/MTSP/Laporte/Tabela4/L16-2.txt,9,25,15,org.minizinc.mip.cplex,satisfied,13,"[2, 4, 7, 8, 5, 6, 9, 3, 1]"
instances/MTSP/Laporte/Tabela4/L16-3.txt,9,25,15,org.minizinc.mip.cplex,optimal,16,"[3, 6, 7, 4, 8, 9, 5, 1, 2]"
instances/MTSP/Laporte/Tabela4/L16-4.txt,9,25,15,org.minizinc.mip.cplex,optimal,15,"[6, 2, 1, 7, 9, 3, 5, 8, 4]"
instances/MTSP/Laporte/Tabela4/L16-5.txt,9,25,15,org.minizinc.mip.cplex,optimal,13,"[1, 4, 9, 2, 6, 8, 3, 5, 7]"
instances/MTSP/Laporte/Tabela4/L16-6.txt,9,25,15,org.minizinc.mip.cplex,satisfied,22,"[6, 7, 9, 5, 4, 1, 8, 3, 2]"
instances/MTSP/Laporte/Tabela4/L16-7.txt,9,25,15,org.minizinc.mip.cplex,satisfied,14,"[3, 8, 7, 1, 5, 2, 6, 4, 9]"
instances/MTSP/Laporte/Tabela4/L16-8.txt,9,25,15,org.minizinc.mip.cplex,satisfied,17,"[2, 1, 9, 6, 7, 4, 3, 5, 8]"
instances/MTSP/Laporte/Tabela4/L16-9.txt,9,25,15,org.minizinc.mip.cplex,satisfied,20,"[6, 4, 1, 7, 5, 3, 2, 9, 8]"
instances/MTSP/Laporte/Tabela4/L17-1.txt,9,25,15,org.minizinc.mip.cplex,satisfied,25,"[5, 6, 8, 3, 4, 9, 7, 1, 2]"
instances/MTSP/Laporte/Tabela4/L17-10.txt,9,25,15,org.minizinc.mip.cplex,optimal,20,"[5, 4, 1, 8, 6, 9, 2, 7, 3]"
instances/MTSP/Laporte/Tabela4/L17-2.txt,9,25,15,org.minizinc.mip.cplex,optimal,25,"[1, 7, 8, 5, 6, 4, 3, 2, 9]"
instances/MTSP/Laporte/Tabela4/L17-3.txt,9,25,15,org.minizinc.mip.cplex,optimal,25,"[1, 6, 8, 5, 4, 3, 2, 7, 9]"
instances/MTSP/Laporte/Tabela4/L17-4.txt,9,25,15,org.minizinc.mip.cplex,optimal,22,"[5, 3, 9, 6, 2, 8, 1, 4, 7]"
instances/MTSP/Laporte/Tabela4/L17-5.txt,9,25,15,org.minizinc.mip.cplex,satisfied,21,"[4, 6, 9, 5, 1, 7, 3, 8, 2]"
instances/MTSP/Laporte/Tabela4/L17-6.txt,9,25,15,org.minizinc.mip.cplex,optimal,26,"[5, 3, 7, 4, 1, 9, 8, 2, 6]"
instances/MTSP/Laporte/Tabela4/L17-7.txt,9,25,15,org.minizinc.mip.cplex,satisfied,24,"[1, 5, 8, 4, 9, 3, 2, 7, 6]"
instances/MTSP/Laporte/Tabela4/L17-8.txt,9,25,15,org.minizinc.mip.cplex,satisfied,24,"[4, 7, 8, 1, 3, 6, 9, 5, 2]"
instances/MTSP/Laporte/Tabela4/L17-9.txt,9,25,15,org.minizinc.mip.cplex,optimal,23,"[5, 8, 7, 1, 6, 2, 9, 3, 4]"
instances/MTSP/Laporte/Tabela4/L18-1.txt,9,25,20,org.minizinc.mip.cplex,satisfied,5,"[5, 9, 7, 4, 8, 2, 6, 3, 1]"
instances/MTSP/Laporte/Tabela4/L18-10.txt,9,25,20,org.minizinc.mip.cplex,satisfied,5,"[2, 4, 3, 9, 5, 7, 1, 6, 8]"
instances/MTSP/Laporte/Tabela4/L18-2.txt,9,25,20,org.minizinc.mip.cplex,satisfied,5,"[7, 6, 1, 8, 9, 5, 3, 4, 2]"
instances/MTSP/Laporte/Tabela4/L18-3.txt,9,25,20,org.minizinc.mip.cplex,satisfied,5,"[8, 1, 3, 7, 6, 5, 4, 2, 9]"
instances/MTSP/Laporte/Tabela4/L18-4.txt,9,25,20,org.minizinc.mip.cplex,satisfied,5,"[8, 1, 4, 5, 7, 3, 2, 6, 9]"
instances/MTSP/Laporte/Tabela4/L18-5.txt,9,25,20,org.minizinc.mip.cplex,satisfied,5,"[3, 7, 4, 1, 9, 5, 6, 2, 8]"
instances/MTSP/Laporte/Tabela4/L18-6.txt,9,25,20,org.minizinc.mip.cplex,satisfied,5,"[1, 6, 8, 3, 4, 7, 5, 2, 9]"
instances/MTSP/Laporte/Tabela4/L18-7.txt,9,25,20,org.minizinc.mip.cplex,satisfied,5,"[9, 4, 7, 2, 8, 6, 1, 5, 3]"
instances/MTSP/Laporte/Tabela4/L18-8.txt,9,25,20,org.minizinc.mip.cplex,satisfied,5,"[7, 3, 6, 9, 4, 5, 8, 2, 1]"
instances/MTSP/Laporte/Tabela4/L18-9.txt,9,25,20,org.minizinc.mip.cplex,satisfied,5,"[5, 6, 8, 7, 2, 3, 1, 4, 9]"
instances/MTSP/Laporte/Tabela4/L19-1.txt,9,25,20,org.minizinc.mip.cplex,optimal,5,"[6, 7, 3, 4, 5, 8, 9, 2, 1]"
instances/MTSP/Laporte/Tabela4/L19-10.txt,9,25,20,org.minizinc.mip.cplex,optimal,5,"[6, 1, 3, 4, 7, 2, 9, 5, 8]"
instances/MTSP/Laporte/Tabela4/L19-2.txt,9,25,20,org.minizinc.mip.cplex,optimal,5,"[2, 6, 1, 7, 3, 9, 8, 4, 5]"
instances/MTSP/Laporte/Tabela4/L19-3.txt,9,25,20,org.minizinc.mip.cplex,satisfied,5,"[7, 5, 3, 1, 9, 6, 8, 4, 2]"
instances/MTSP/Laporte/Tabela4/L19-4.txt,9,25,20,org.minizinc.mip.cplex,optimal,5,"[3, 4, 5, 2, 8, 1, 9, 6, 7]"
instances/MTSP/Laporte/Tabela4/L19-5.txt,9,25,20,org.minizinc.mip.cplex,optimal,5,"[2, 3, 8, 5, 4, 7, 6, 9, 1]"
instances/MTSP/Laporte/Tabela4/L19-6.txt,9,25,20,org.minizinc.mip.cplex,satisfied,5,"[5, 7, 2, 8, 3, 4, 6, 1, 9]"
instances/MTSP/Laporte/Tabela4/L19-7.txt,9,25,20,org.minizinc.mip.cplex,optimal,5,"[5, 3, 9, 7, 6, 2, 4, 1, 8]"
instances/MTSP/Laporte/Tabela4/L19-8.txt,9,25,20,org.minizinc.mip.cplex,optimal,5,"[1, 5, 2, 3, 9, 6, 8, 4, 7]"
